id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj	proximal_genes	left	right
W_84411	834.709712825838	1391.18285470973	0	0	-Inf	1.4713797833534e-05	0.0164316456980352	CCNA_01966,	2110250	2110275
W_84410	774.726008101725	1291.21001350288	0	0	-Inf	3.22937553065152e-05	0.0164316456980352	CCNA_01966,	2110225	2110250
W_130233	1798.8381603017	2998.06360050283	0	0	-Inf	7.39490254961704e-05	0.0164316456980352	CCNA_03104,CCNA_03105,	3255800	3255825
W_130234	662.307758711179	1103.84626451863	0	0	-Inf	0.000134647578129788	0.0164316456980352	CCNA_03104,CCNA_03105,	3255825	3255850
W_87141	949.403967470361	1575.35566768806	10.4764171438064	0.00665019167333892	-7.23238836176398	0.000183200646180316	0.0164316456980352	CCNA_02034,	2178500	2178525
W_87142	830.99330319476	1379.00231457576	8.97978612326266	0.00651179916693993	-7.26272807911932	0.000186113278567195	0.0164316456980352	CCNA_02034,	2178525	2178550
W_119971	871.214116289498	1450.81936090432	1.80624936725768	0.00124498570665049	-9.64965510547141	0.000249449347548875	0.0169982521427781	CCNA_02846,	2999250	2999275
W_109742	3450.52087012198	5729.36500180039	32.2546726043739	0.0056297115987964	-7.47272326744423	0.000626720280258662	0.0205821580781636	CCNA_02596,CCNA_02595,	2743525	2743550
W_58343	839.653864888611	1384.45679794225	22.4494653081567	0.0162153599458819	-5.94649514091932	0.000667076162614075	0.021043452229028	CCNA_01344,CCNA_01345,	1458550	1458575
W_109743	23302.8905007986	38643.1777995443	292.459552680074	0.00756820658479911	-7.04583281506545	0.00106094922475818	0.0252733725817439	CCNA_02596,CCNA_02595,	2743550	2743575
W_119970	902.569194720517	1500.42865921738	5.77999797522457	0.00385223112056485	-8.02009002216347	0.00107373960872377	0.0254161084470701	CCNA_02846,	2999225	2999250
W_120007	844.88789692337	1396.96478849049	16.7725595726955	0.0120064297331498	-6.38004897895041	0.00110645435553399	0.0257064338954143	CCNA_02846,	3000150	3000175
W_125709	663.550978971568	1105.91829828595	0	0	-Inf	0.00127300167227977	0.0275428241397705	CCNA_02987,CCNA_02988,	3142700	3142725
W_109744	32671.6215175689	54122.9994200527	494.554663843102	0.00913760636221998	-6.77396799045291	0.00139995012362524	0.0288987421864686	CCNA_02596,CCNA_02595,	2743575	2743600
W_130232	1128.54991569227	1873.9322480579	10.4764171438064	0.00559060614633423	-7.48277957280973	0.00163775267244288	0.0309748875005502	CCNA_03104,CCNA_03105,	3255775	3255800
W_109745	11905.737698703	19706.9963451692	203.849729003549	0.0103440283558746	-6.59505805467791	0.00164529403522915	0.0310346638292177	CCNA_02596,CCNA_02595,	2743600	2743625
W_125213	2609.12712842094	4317.30561982894	46.8593913089363	0.0108538508586735	-6.52564919972698	0.00251527420535819	0.0379826590049019	CCNA_02975,	3130300	3130325
W_58344	1409.64054330835	2335.60456828711	20.6945058402128	0.00886044929060479	-6.81840442867037	0.00331090770819844	0.0432437799877556	CCNA_01344,CCNA_01345,	1458575	1458600
W_125214	3574.2310187264	5907.474355732	74.3660132179906	0.0125884614540618	-6.31175422031838	0.00382997233157643	0.0463918729660174	CCNA_02975,	3130325	3130350
W_120005	626.810975539968	1024.90198404849	29.6744627771874	0.0289534640766033	-5.11012022300543	0.00406107667433534	0.047938621540729	CCNA_02846,	3000100	3000125
W_17189	971.924563124065	1619.87427187344	0	0	-Inf	0.0043054498380507	0.0490578198017159	CCNA_00415,CCNA_00416,	429700	429725
