id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj	proximal_genes	left	right
W_159668	1474.51834489396	2454.53731278217	4.48989306163133	0.00182922175933114	-9.09455429886269	2.66387515704248e-05	0.0164316456980352	CCNA_03825,CCNA_03826,	3991800	3991825
W_159667	1933.7222390531	3218.91380338487	5.93489255543747	0.00184375628486746	-9.08313631753392	4.99972202711674e-05	0.0164316456980352	CCNA_03825,CCNA_03826,	3991775	3991800
W_85746	819.203181455504	1365.33863575917	0	0	-Inf	7.9722294761436e-05	0.0164316456980352	CCNA_01997,CCNA_01996,	2143625	2143650
W_7182	768.82644686482	1281.37741144137	0	0	-Inf	0.000146316486657944	0.0164316456980352	CCNA_00167,	179525	179550
W_39728	1212.92252798901	2015.82627683298	8.56690472307349	0.0042498229244897	-7.87838155430179	0.000151055263389133	0.0164316456980352	CCNA_00913,CCNA_00914,	993175	993200
W_39729	843.308836509545	1401.04204496319	6.70902382907818	0.00478859564079282	-7.70618166818457	0.000191119987686065	0.0164316456980352	CCNA_00913,CCNA_00914,	993200	993225
W_40254	2347.25607548375	3901.6343663805	15.6886391386289	0.00402104289264376	-7.95821455914943	0.000387557362071221	0.0180157622423576	CCNA_00930,CCNA_00929,	1006325	1006350
W_40263	619.07948858969	1030.11331490671	2.52874911416075	0.00245482616093528	-8.67016342127751	0.000715285555830134	0.0216554679609972	CCNA_00930,	1006550	1006575
W_40253	2306.30334394173	3828.80398208009	22.5523867342081	0.00589019099430523	-7.40746986927027	0.000839693229099537	0.0231078730471954	CCNA_00930,CCNA_00929,	1006300	1006325
W_150910	1030.85948869105	1712.3191498432	8.66999696283686	0.00506330666431593	-7.62570441947626	0.000971501078754463	0.0243814206462669	CCNA_03617,CCNA_03618,	3772725	3772750
W_71262	13646.1425048946	22614.0704845755	194.250535373146	0.00858980852233743	-6.86315831243142	0.00111813898870561	0.0258621793143243	CCNA_01660,	1781525	1781550
W_85747	1898.11821630208	3158.95452877307	6.86374759557918	0.0021727908816228	-8.84623495439665	0.00126890633159291	0.0274915288062995	CCNA_01997,CCNA_01996,	2143650	2143675
W_40252	934.385551897838	1550.56592219197	10.114996456643	0.00652342239170578	-7.26015523858913	0.001381706479902	0.0287170261267142	CCNA_00930,CCNA_00929,	1006275	1006300
W_71261	13476.9979906263	22337.2208006509	186.663775589528	0.00835662490223891	-6.90286390455339	0.0013882078010833	0.0287918129885909	CCNA_01660,	1781500	1781525
W_40257	646.455798289055	1072.6096655024	7.22499746903071	0.00673590561543799	-7.21391236138449	0.00147077097939828	0.0295706778232141	CCNA_00930,CCNA_00929,	1006400	1006425
W_50321	823.132969853187	1366.10828511342	8.66999696283686	0.00634649321529957	-7.29982464055485	0.00150250498543334	0.0298394962865996	CCNA_01154,	1258000	1258025
W_40255	1802.23786013643	2979.09581958789	36.9509209592438	0.0124034012992423	-6.33312039459189	0.00213946426052837	0.0352478513885721	CCNA_00930,CCNA_00929,	1006350	1006375
W_40256	1520.99794731326	2513.01179728791	32.9771723512769	0.0131225696540169	-6.25180593444451	0.00217366388253348	0.0354644190210219	CCNA_00930,CCNA_00929,	1006375	1006400
W_71260	18484.9321389237	30607.1928551839	301.541064533405	0.00985196734506585	-6.66537243871616	0.00227478857660666	0.0362256793557881	CCNA_01660,	1781475	1781500
W_143103	796.073213930347	1319.32285916591	11.1987460769976	0.00848825289366816	-6.88031664502041	0.00229407041209545	0.0364157976106957	CCNA_03409,	3577550	3577575
W_71259	28083.8718351473	46457.1745251546	523.917800136457	0.0112774357349859	-6.47041712496164	0.00232414429007558	0.0365522736162169	CCNA_01660,	1781450	1781475
W_85748	1632.9388612965	2715.78477085228	8.66999696283686	0.00319244627037068	-8.29112194543011	0.00264138870961202	0.0389492911417366	CCNA_01997,CCNA_01996,	2143675	2143700
W_159666	1204.13986330132	1994.13560997357	19.1462432929314	0.00960127445554474	-6.70255836542629	0.00265807192509261	0.0389968589522215	CCNA_03825,CCNA_03826,	3991750	3991775
W_150909	809.049009771448	1338.3000198291	15.1724946849645	0.0113371399986245	-6.46279944986504	0.00367420514605049	0.0454462606616774	CCNA_03617,CCNA_03618,	3772700	3772725
W_50320	870.494723914867	1439.98704365457	16.2562443053191	0.0112891601191509	-6.46891803200819	0.00385398024497826	0.0465196157165232	CCNA_01154,CCNA_01153,	1257975	1258000
W_71258	20425.0752328928	33688.2472510755	530.317205618821	0.0157419055276582	-5.98924600287407	0.00393727479335276	0.0470699443511199	CCNA_01660,	1781425	1781450
W_71257	9018.30359117327	14851.7723825305	268.100404137472	0.0180517447501975	-5.79171790552603	0.00452493387384394	0.0502017294894412	CCNA_01660,	1781400	1781425
W_40264	728.099318769167	1200.42502713537	19.6107562198582	0.0163365106329516	-5.93575632318967	0.00513095031936678	0.0532643555238432	CCNA_00930,	1006575	1006600
