Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts POS Replicate 1	Raw Counts POS Replicate 2	Raw Counts POS Replicate 3	Normalized Counts POS Replicate 1	Normalized Counts POS Replicate 2	Normalized Counts POS Replicate 3	RPKM POS	Variance POS	Lowess POS	Expression POS	Raw Counts NEG Replicate 1	Raw Counts NEG Replicate 2	Normalized Counts NEG Replicate 1	Normalized Counts NEG Replicate 2	RPKM NEG	Variance NEG	Lowess NEG	Expression NEG	pValue POS vs NEG	qValue POS vs NEG
182			1	-	-	CCNA_R0094	small non-coding RNA	5019	0	0	11488	0	0	5	1486076323	1591752793	21	0	0	0	0	0	0	244	0	1.0	1.0
	202	1107		+	-	CCNA_00001	ATP/GTP-binding protein	14967	5000	1950	34259	17368	11344	4	6018508111	29337010704	23	13549	0	25373	0	3	16190355046	15287407309	14	0.6069419784684713	1.0
	1104	1703		+	-	CCNA_00002	septum formation protein Maf	12687	0	50	29040	0	290	3	13597790392	8289284838	16	6950	0	13015	0	2	3261594920	3672673540	10	0.5808836353825666	1.0
	1700	2557		+	-	CCNA_00003	shikimate 5-dehydrogenase	1320	0	3549	3021	0	20646	1	5170375981	5668610342	9	15149	1750	28369	28683	3	427952	54512110895	33	0.7078626738531737	1.0
	2559	3158		+	-	CCNA_00004	dephospho-CoA kinase	6799	0	0	15562	0	0	2	3079012687	2877306064	8	7549	1050	14137	17210	2	102073781	21812941048	26	0.7003946764067378	1.0
	3190	3903		+	dnaQ	CCNA_00005	DNA polymerase III, epsilon chain	7200	4550	2500	16480	15805	14544	3	15197733	17658844053	21	15599	4650	29212	76217	5	71106572030	170853744066	73	0.7120891009598506	1.0
	4022	4810		+	-	CCNA_00006	enoyl-CoA hydratase	7994	510	1050	18298	1771	6108	2	2747955356	6773150417	11	0	4135	0	67775	1	171131859086	75357586042	42	0.7551200032652943	1.0
4950			4292	-	-	CCNA_R0095	small non-coding RNA	93230	50	1200	213404	173	6981	26	1586109250238	459090825109	111	18650	0	34926	0	5	34859507288	25630146086	26	0.8783594257554774	1.0
	4960	5235		+	-	CCNA_00007	SSU ribosomal protein S20P	79458	6932	190	181880	24080	1105	56	962286127867	401062121633	250	88458	92	165657	1507	65	1430020074708	466476379329	302	0.544036976259723	1.0
	5636	7108		+	dnaA	CCNA_00008	chromosome replication initiator protein DnaA	299994	34187	44795	686689	118758	260602	46	13478150515464	23627195122277	241	154015	3250	288428	53269	21	3388690120605	2168714987640	115	0.623425433487542	1.0
